record_num,ground_truth,consensus_correct,trend_trust,pattern_trust,anomaly_trust
369,False,True,0.8829988373570219,0.8872998981780591,1.0
370,True,False,0.882839115346387,0.8873839245327599,1.0
371,False,True,0.8825928382203505,0.8874896181009894,1.0
372,False,True,0.8824032594921493,0.8876146509289602,1.0
373,False,True,0.8822645378210092,0.8877569291515722,1.0
374,False,True,0.8821714173722417,0.887781236236415,1.0
375,False,True,0.8821191692520388,0.8878328998468161,1.0
376,False,True,0.8821035387989835,0.8879090263077579,1.0
377,True,True,0.8821206981465984,0.888007012565871,1.0
378,False,True,0.8820352774084558,0.8881245171140333,1.0
379,False,True,0.8819896444044523,0.8882594338236827,1.0
380,False,True,0.8819796563419599,0.8884098683940703,1.0
381,False,True,0.882001585995722,0.8885741171567576,1.0
382,True,True,0.8820520801376641,0.8886200996969565,1.0
383,False,True,0.8819979137905644,0.8886903813939276,1.0
384,False,True,0.8819799405933262,0.8887823822155738,1.0
385,False,True,0.8819943817671543,0.888893781299716,1.0
386,False,True,0.8820378376472864,0.8890224910250416,1.0
387,False,True,0.8821072497588465,0.8891666336751148,1.0
388,True,True,0.8821998666852754,0.8893245204361381,1.0
389,True,True,0.8823132133500813,0.8894946324950884,1.0
390,True,False,0.8823171861327203,0.8895477267903367,1.0
391,False,True,0.882223222621489,0.889623566356201,1.0
392,False,True,0.8821688392906378,0.8897197338936089,1.0
393,False,True,0.8821499249047212,0.8897071513671921,1.0
394,False,True,0.8821627805155149,0.8897237780026249,1.0
395,False,True,0.8822040782215391,0.889766551717514,1.0
396,False,True,0.8822708240517781,0.8898327177044528,1.0
397,False,True,0.8823603245611732,0.8899197976928015,1.0
398,True,True,0.88247015676671,0.8900255622844236,1.0
399,False,True,0.882473141090039,0.8901480060559813,1.0
400,False,True,0.8825051287266711,0.8902853251511313,1.0
401,True,True,0.8825630735654468,0.8903115190041775,1.0
402,False,True,0.8825201657126243,0.8903622529598392,1.0
403,False,True,0.8825107233987877,0.8903111761787068,1.0
404,False,True,0.8825312559971805,0.8902924042398486,1.0
405,False,True,0.8825786230082999,0.8903025726828588,1.0
406,False,True,0.8826499990367083,0.8902158043580619,1.0
407,False,True,0.8827428422702924,0.8901648121575498,1.0
408,False,True,0.8828548661117229,0.8901458859540198,1.0
409,True,True,0.882984013646892,0.890033736383008,1.0
410,False,True,0.8831284346666312,0.8899598031340016,1.0
411,True,True,0.8832864649863759,0.8897987742769121,1.0
412,False,True,0.8833355424586826,0.8896808823213759,1.0
413,False,True,0.8834077853142637,0.8896016829781273,1.0
414,False,True,0.8835007417225964,0.889557177330917,1.0
415,False,True,0.8836122060118753,0.8895437672901331,1.0
416,False,True,0.8837401940437812,0.8895582155011678,1.0
417,True,True,0.8838829210508865,0.8894779920371755,1.0
418,True,True,0.884038781690428,0.8894323408048184,1.0
419,True,True,0.8842063320928137,0.8894176781529081,1.0
420,False,True,0.8843842737053851,0.889430779696287,1.0
421,False,True,0.8845714387519081,0.8894687443806868,1.0
422,True,True,0.8847667771462209,0.889410758831507,1.0
423,False,True,0.8848514201863158,0.8893847772879789,1.0
424,True,True,0.8849545134618019,0.8893874760297693,1.0
425,False,False,0.8849567146977813,0.8892984936850084,1.0
426,False,True,0.8849856333919376,0.8892445225366481,1.0
427,True,True,0.8850384719219028,0.8891051170119553,1.0
428,False,True,0.884996163191251,0.8890057941219487,1.0
429,False,True,0.8849849189651492,0.8889424240120793,1.0
430,False,True,0.8850015082751308,0.8889112906595953,1.0
431,True,True,0.8850430241142844,0.8887933097417839,1.0
432,True,True,0.88510685103311,0.8885975815389682,1.0
433,False,False,0.8850754286026101,0.8883322934311544,1.0
434,False,True,0.8850736328687859,0.8881197537432114,1.0
435,False,True,0.8850983796736505,0.8878398884606333,1.0
436,True,True,0.8851468941090315,0.8874998355413435,1.0
437,True,True,0.8852166795839731,0.8871060163707708,1.0
438,True,True,0.8853054899854846,0.8866642074443999,1.0
439,False,True,0.8852976682596635,0.8862932412454144,1.0
440,True,False,0.885203275583357,0.8858725339009184,1.0
441,False,True,0.885031364314614,0.8855205746284737,1.0
